,Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,happy_level
0,Afghanistan,3.1322374906693264,0.4017841334592819,0.2443235387307233,0.0737024400609731,0.038336701882441,0.2106107058223801,Ok
1,Albania,4.84521250242572,1.0058519750393715,0.7687261719558601,0.415429315726902,0.0366706876249802,0.1645575886616277,Ok
2,Algeria,5.419012498804718,1.0397088084583974,0.6582128993435172,0.1551412008649377,0.1412108455429916,0.089376457624741,Happy
3,Angola,3.872250019073488,0.7983795450544358,0.1339021664088964,0.0274325,0.0715700838261842,0.1052691225022077,Ok
4,Argentina,6.270962493888978,1.1672051364510423,0.7452813485663032,0.5034924438626613,0.0667443683392982,0.0852446914618368,Happy
5,Armenia,4.665599962690094,0.929241143232704,0.6897639619979287,0.3195273844199667,0.0883065756880174,0.0815242287283048,Ok
6,Australia,7.24359996223642,1.454727671014,0.89603180958247,0.6212618219121895,0.3208575186704807,0.3692953578728542,Very Happy
7,Austria,7.179399998245209,1.4664991001670225,0.8719164934010659,0.5938768834468994,0.2466945630548076,0.2656890107185917,Very Happy
8,Azerbaijan,5.206850046624206,1.1051868083290788,0.6162999791136781,0.4371825702813892,0.2178855860131092,0.0439715692845897,Happy
9,Bahrain,6.26128750752356,1.4390130641261525,0.7190111758382645,0.5699771026443902,0.1843074283213653,0.2185265247291965,Very Happy
10,Bangladesh,4.739224964079468,0.6088924066615258,0.5945889425692596,0.527558403176548,0.1487467209234247,0.1696925586424341,Ok
11,Belarus,5.610612449162934,1.14124400737088,0.6794278545971298,0.3083057662348709,0.1865489070841741,0.0999938211384487,Happy
12,Belgium,6.888687489000794,1.442854190970635,0.861281627294281,0.5218270179236526,0.2236183978831711,0.1660461870777111,Very Happy
13,Belize,5.955999950408938,0.8637117720158893,0.4599605886745453,0.5509397907447814,0.0977636905384063,0.2199518802849453,Happy
14,Benin,4.298625018106232,0.4611212639667396,0.2794216454132022,0.4298465832432078,0.111346361159852,0.1775023611468706,Ok
15,Bhutan,5.124800031280517,0.8235072777023316,0.5397078584976196,0.4984675361251832,0.1654860779619216,0.4346989090328216,Happy
16,Bolivia,5.766187487152954,0.8331603636309586,0.5499969891875344,0.5701184283556939,0.0681100453951849,0.1642844748419075,Happy
17,Bosnia and Herzegovina,5.383012510277161,1.0033581097036552,0.7379480618037834,0.2540411147379656,0.002555310875,0.2654803423824958,Happy
18,Botswana,3.695862498553116,1.1084316439197388,0.3507671552970657,0.5090157178664398,0.1018499458854756,0.0584519919021143,Ok
19,Brazil,6.53595001123523,1.0761016354311526,0.6696051769881591,0.4698108094744567,0.1199351706448678,0.1349405603303537,Very Happy
20,Bulgaria,4.853937532383393,1.1606542216656874,0.7100680721817817,0.3690139729483146,0.0081151913687214,0.1071439259225353,Happy
21,Burkina Faso,4.330212523481231,0.3773456696981125,0.2682372667082549,0.3381745008773632,0.1236732701232647,0.2022819116977196,Ok
22,Burundi,3.2778999996271097,0.044604652666705,0.2154648038118853,0.1542856874571506,0.1370206818637749,0.184143852942567,Ok
23,Cambodia,4.418175042156555,0.613477504273449,0.5098459672341805,0.6632870214372215,0.068791681618947,0.2862806311734505,Ok
24,Cameroon,4.844237509207672,0.5763416763857003,0.2191352087380323,0.4308851538307227,0.0546025066770103,0.1992873197235078,Ok
25,Canada,7.2641374993426515,1.4469115099093774,0.8882861996841812,0.6257248798867645,0.3229916715284652,0.3365648303053283,Very Happy
26,Central African Republic,3.202580002640258,0.0339144164,0.040152537180066,0.3164893017091156,0.0481439588225494,0.245147940898703,Ok
27,Chad,4.130712504589859,0.3911713095469074,0.1010273518850326,0.192127974478715,0.0675684112835238,0.1966811173092947,Ok
